season,match_id,round_number,round,round_name,finals_flag,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2026,198,23,Round 23,Round 23,0,2026-08-10,Perth Stadium,Fremantle,Adelaide,NA,NA,NA,NA,NA,NA
2026,199,24,Round 24,Round 24,0,2026-08-17,Docklands Stadium,Carlton,Fremantle,NA,NA,NA,NA,NA,NA
2026,200,24,Round 24,Round 24,0,2026-08-17,MCG,Collingwood,Brisbane,NA,NA,NA,NA,NA,NA
2026,201,24,Round 24,Round 24,0,2026-08-17,Docklands Stadium,Essendon,Port Adelaide,NA,NA,NA,NA,NA,NA
2026,202,24,Round 24,Round 24,0,2026-08-17,Kardinia Park,Geelong,Richmond,NA,NA,NA,NA,NA,NA
2026,203,24,Round 24,Round 24,0,2026-08-17,MCG,Melbourne,Western Bulldogs,NA,NA,NA,NA,NA,NA
2026,204,24,Round 24,Round 24,0,2026-08-17,Docklands Stadium,St Kilda,Gold Coast,NA,NA,NA,NA,NA,NA
2026,205,24,Round 24,Round 24,0,2026-08-17,SCG,Sydney,North Melbourne,NA,NA,NA,NA,NA,NA
2026,206,24,Round 24,Round 24,0,2026-08-17,Adelaide Oval,Adelaide,GWS,NA,NA,NA,NA,NA,NA
2026,207,24,Round 24,Round 24,0,2026-08-17,Perth Stadium,West Coast,Hawthorn,NA,NA,NA,NA,NA,NA
2026,208,25,Round 25,Finals Week 1,1,2026-09-04,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2026,209,25,Round 25,Finals Week 1,1,2026-09-04,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2026,210,25,Round 25,Finals Week 1,1,2026-09-04,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2026,211,25,Round 25,Finals Week 1,1,2026-09-04,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2026,212,26,Round 26,Semi-Finals,1,2026-09-11,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2026,213,26,Round 26,Semi-Finals,1,2026-09-11,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2026,214,27,Round 27,Preliminary Finals,1,2026-09-18,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2026,215,27,Round 27,Preliminary Finals,1,2026-09-18,MCG,NA,NA,NA,NA,NA,NA,NA,NA
2026,216,28,Round 28,Grand Final,1,2026-09-25,MCG,NA,NA,NA,NA,NA,NA,NA,NA
