season,match_id,round_number,round,round_name,finals_flag,date,venue,home_team,away_team,home_goals,home_behinds,home_score,away_goals,away_behinds,away_score
2014,4545,17,Round 17,Round 17,0,2014-07-12,Bellerive Oval,North Melbourne,St Kilda,13,14,92,3,15,33
2014,4546,17,Round 17,Round 17,0,2014-07-12,Cazaly's Stadium,Western Bulldogs,Gold Coast,13,16,94,9,12,66
2014,4547,17,Round 17,Round 17,0,2014-07-12,Gabba,Brisbane,West Coast,9,10,64,11,10,76
2014,4548,17,Round 17,Round 17,0,2014-07-12,SCG,Sydney,Carlton,18,14,122,7,9,51
2014,4549,17,Round 17,Round 17,0,2014-07-13,Docklands Stadium,Richmond,Port Adelaide,19,12,126,16,10,106
2014,4550,17,Round 17,Round 17,0,2014-07-13,MCG,Essendon,Collingwood,16,7,103,5,9,39
2014,4551,17,Round 17,Round 17,0,2014-07-13,Subiaco Oval,Fremantle,GWS,21,10,136,9,6,60
2014,4552,18,Round 18,Round 18,0,2014-07-18,Docklands Stadium,Carlton,North Melbourne,16,13,109,13,8,86
2014,4553,18,Round 18,Round 18,0,2014-07-19,Docklands Stadium,St Kilda,Fremantle,17,16,118,9,6,60
2014,4554,18,Round 18,Round 18,0,2014-07-19,Sydney Showground Stadium,GWS,Geelong,12,15,87,13,16,94
2014,4555,18,Round 18,Round 18,0,2014-07-20,Adelaide Oval,Port Adelaide,Melbourne,10,12,72,10,9,69
2014,4556,18,Round 18,Round 18,0,2014-07-20,Docklands Stadium,Western Bulldogs,Essendon,14,10,94,15,11,101
2014,4557,18,Round 18,Round 18,0,2014-07-25,Subiaco Oval,West Coast,Richmond,6,6,42,8,11,59
2014,4558,18,Round 18,Round 18,0,2014-07-26,Gabba,Brisbane,Gold Coast,16,14,110,8,8,56
2014,4559,18,Round 18,Round 18,0,2014-07-26,MCG,Hawthorn,Sydney,15,14,104,13,16,94
2014,4560,18,Round 18,Round 18,0,2014-07-27,MCG,Collingwood,Adelaide,12,10,82,14,14,98
2014,4561,19,Round 19,Round 19,0,2014-07-31,Subiaco Oval,Fremantle,Carlton,12,11,83,11,12,78
2014,4562,19,Round 19,Round 19,0,2014-08-01,SCG,Sydney,Essendon,11,13,79,8,9,57
2014,4563,19,Round 19,Round 19,0,2014-08-02,Adelaide Oval,Adelaide,West Coast,16,9,105,20,16,136
2014,4564,19,Round 19,Round 19,0,2014-08-02,MCG,Richmond,GWS,13,11,89,8,14,62
2014,4565,19,Round 19,Round 19,0,2014-08-02,Carrara Stadium,Gold Coast,St Kilda,17,15,117,9,10,64
2014,4566,19,Round 19,Round 19,0,2014-08-02,Docklands Stadium,North Melbourne,Geelong,10,19,79,16,15,111
2014,4567,19,Round 19,Round 19,0,2014-08-03,Docklands Stadium,Melbourne,Brisbane,6,15,51,11,8,74
2014,4568,19,Round 19,Round 19,0,2014-08-03,York Park,Hawthorn,Western Bulldogs,16,11,107,6,9,45
2014,4569,19,Round 19,Round 19,0,2014-08-03,MCG,Collingwood,Port Adelaide,11,10,76,10,10,70
2014,4570,20,Round 20,Round 20,0,2014-08-08,MCG,Richmond,Essendon,14,11,95,11,11,77
2014,4571,20,Round 20,Round 20,0,2014-08-09,Manuka Oval,GWS,North Melbourne,7,9,51,19,12,126
2014,4572,20,Round 20,Round 20,0,2014-08-09,Docklands Stadium,Carlton,Gold Coast,14,13,97,8,10,58
2014,4573,20,Round 20,Round 20,0,2014-08-09,MCG,Hawthorn,Melbourne,17,13,115,9,11,65
2014,4574,20,Round 20,Round 20,0,2014-08-09,Kardinia Park,Geelong,Fremantle,12,9,81,11,13,79
2014,4575,20,Round 20,Round 20,0,2014-08-09,Adelaide Oval,Port Adelaide,Sydney,7,16,58,12,12,84
2014,4576,20,Round 20,Round 20,0,2014-08-10,Gabba,Brisbane,Adelaide,9,9,63,25,18,168
2014,4577,20,Round 20,Round 20,0,2014-08-10,Docklands Stadium,St Kilda,Western Bulldogs,15,9,99,18,14,122
2014,4578,20,Round 20,Round 20,0,2014-08-10,Subiaco Oval,West Coast,Collingwood,19,12,126,10,6,66
2014,4579,21,Round 21,Round 21,0,2014-08-15,Docklands Stadium,Carlton,Geelong,11,10,76,11,16,82
2014,4580,21,Round 21,Round 21,0,2014-08-16,SCG,Sydney,St Kilda,19,13,127,8,8,56
2014,4581,21,Round 21,Round 21,0,2014-08-16,Carrara Stadium,Gold Coast,Port Adelaide,7,5,47,7,14,56
2014,4582,21,Round 21,Round 21,0,2014-08-16,Docklands Stadium,Essendon,West Coast,11,11,77,11,8,74
2014,4583,21,Round 21,Round 21,0,2014-08-16,Adelaide Oval,Adelaide,Richmond,9,15,69,10,19,79
2014,4584,21,Round 21,Round 21,0,2014-08-16,MCG,Collingwood,Brisbane,8,8,56,18,15,123
2014,4585,21,Round 21,Round 21,0,2014-08-17,Docklands Stadium,North Melbourne,Western Bulldogs,17,9,111,8,13,61
2014,4586,21,Round 21,Round 21,0,2014-08-17,MCG,Melbourne,GWS,3,16,34,15,8,98
2014,4587,21,Round 21,Round 21,0,2014-08-17,Subiaco Oval,Fremantle,Hawthorn,17,8,110,13,13,91
2014,4588,22,Round 22,Round 22,0,2014-08-22,Adelaide Oval,Port Adelaide,Carlton,20,20,140,5,7,37
